learning_objectives|taxonomy
An ideal fuel is cheap readily available readily combustible and easy to transport. It has high calorific value. It does not produce gases or residues that pollute the environment.|science>>combustion and flame
Fuels differ in their efficiency and cost.|science>>combustion and flame
Unburnt carbon particles in air are dangerous pollutants causing respiratory problems.|science>>combustion and flame
Incomplete combustion of a fuel gives poisonous carbon monoxide gas.|science>>combustion and flame
Biodiversity refers to the variety of living organisms in a specific area.|science>>conservation of plants and animals
Plants and animals of a particular area are known as the flora and fauna of that area.|science>>conservation of plants and animals
Endemic species are found only in a particular area.|science>>conservation of plants and animals
Endangered species are those which are facing the danger of extinction.|science>>conservation of plants and animals
Reforestation is the restocking of destroyed    forests by planting new trees.|science>>conservation of plants and animals
Some organisms are single-celled while others contain large number of cells.|science>>cell structure and functions
The single cell of unicellular organisms performs all the basic functions performed by a variety of cells in multicellular organisms.|science>>cell structure and functions
The cell has three main parts: (i) the cell membrane (ii) cytoplasm which contains smaller components called organelles and (iii) the nucleus.|science>>cell structure and functions
Nucleus is separated from cytoplasm by a nuclear membrane.|science>>cell structure and functions
Nucleus is separated from cytoplasm by a nuclear membrane.|science>>cell structure and functions
Plant cells differ from animal cells in having an additional layer around the cell membrane termed cell wall.|science>>cell structure and functions
Coloured bodies called plastids are found in the plant cells only. Green plastids containing chlorophyll are called chloroplasts.|science>>cell structure and functions
Plant cell has a big central vacuole unlike a number of small vacuoles in animal cells.|science>>cell structure and functions
Reproduction resulting from the fusion of male and female gametes is called sexual reproduction.|science>>reproduction in animals
The reproductive organs in the female include ovaries oviducts and uterus.|science>>reproduction in animals
The reproductive organs in male include testes sperm ducts and penis.|science>>reproduction in animals
The ovary produces female gametes called ova and the testes produce male gametes called sperms.|science>>reproduction in animals
The fusion of ovum and sperm is called fertilisation. The fertilised egg is called a zygote.|science>>reproduction in animals
Fertilisation that takes place inside the female body is called internal fertilisation. This is observed in human beings and other animals such as hens, cows and dogs.|science>>reproduction in animals
The zygote divides repeatedly to give rise to an embryo.|science>>reproduction in animals
Fertilisation that takes place outside the female body is called external fertilisation. This is observed in frogs fish starfish etc.|science>>reproduction in animals
The embryo gets embedded in the wall of the uterus for further development.|science>>reproduction in animals
The stage of the embryo in which all the body parts are identifiable is called foetus.|science>>reproduction in animals
Animals such as hen frog lizard and butterfly which lay eggs are called oviparous animals.|science>>reproduction in animals
The transformation of the larva into adult through drastic changes is called metamorphosis.|science>>reproduction in animals
The type of reproduction in which only a single parent is involved is called asexual reproduction.|science>>reproduction in animals
In hydra new individuals develop from buds. This method of asexual reproduction is called budding.|science>>reproduction in animals
Amoeba reproduces by dividing itself into two. This type of asexual reproduction is called binary fission.|science>>reproduction in animals
Force could be a push or a pull.|science>>force and pressure
A force arises due to the interaction between two objects.|science>>force and pressure
Force has magnitude as well as direction.|science>>force and pressure
A change in the speed of an object or the direction of its motion or both implies a change in its state of motion.|science>>force and pressure
Force acting on an object may cause a change in its state of motion or a change in its shape.|science>>force and pressure
A force can act on an object with or without being in contact with it.|science>>force and pressure
Force per unit area is called pressure.|science>>force and pressure
Liquids and gases exert pressure on the walls of their containers.|science>>force and pressure
The pressure exerted by air around us is known as atmospheric pressure.|science>>force and pressure
Friction opposes the relative motion between two surfaces in contact. It acts on both the surfaces.|science>>friction
Friction depends on the nature of surfaces in contact.|science>>friction
For a given pair of surfaces friction depends upon the state of smoothness of those surfaces.|science>>friction
Friction depends on how hard the two surfaces press together.|science>>friction
Static friction comes into play when we try to move an object at rest.|science>>friction
Sliding friction comes into play when an object is sliding over another.|science>>friction
Sliding friction is smaller than static friction.|science>>friction
Friction is important for many of our activities.|science>>friction
Friction can be increased by making a surface rough.|science>>friction
The sole of the shoes and the tyres of the vehicle are treaded to increase friction.|science>>friction
When one body rolls over another body, rolling friction comes into play. Rolling friction is smaller than sliding friction.|science>>friction
In many machines friction is reduced by using ball bearings.|science>>friction
Fluid friction can be minimised by giving suitable shapes to bodies moving in fluids.|science>>friction
Sound is produced by vibrating objects.|science>>sound
In human beings the vibration of the vocal cords produces sound.|science>>sound
Sound travels through a medium (gas, liquid or solid). It cannot travel in vacuum.|science>>sound
The eardrum senses the vibrations of sound, It sends the signals to the brain. This process is called hearing.|science>>sound
The number of oscillations or vibrations per second is called the frequency of oscillation.|science>>sound
Larger the amplitude of vibration, the louder is the sound.|science>>sound
Higher the frequency of vibration the higher is the pitch and shriller is the sound.|science>>sound
Unpleasant sounds are called noise.|science>>sound
Attempts should be made to minimise noise pollution.|science>>sound
Some liquids are good conductors of electricity and some are poor conductors.|science>>chemical effects of electric current
Most liquids that conduct electricity are solutions of acids, bases and salts.|science>>chemical effects of electric current
The passage of an electric current through a conducting liquid causes chemical reactions. The resulting effects are called chemical effects of currents.|science>>chemical effects of electric current
The process of depositing a layer of any desired metal on another material by means of electricity, is called electroplating.|science>>chemical effects of electric current
There are two kinds of charges — positive charge and negative charge|science>>some natural phenomena
Like charges repel and unlike charges attract each other.|science>>some natural phenomena
The electrical charges produced by rubbing are called static charges.|science>>some natural phenomena
When charges move they constitute an electric current.|science>>some natural phenomena
An electroscope may be used to detect whether a body is charged or not.|science>>some natural phenomena
The process of transfer of charge from a charged object to the earth is called earthing.|science>>some natural phenomena
The process of electric discharge between clouds and the earth or between differentclouds causes lightning.|science>>some natural phenomena
Lightning conductors can protect buildings from the effects of lightning.|science>>some natural phenomena
Light is reflected from all surfaces.|science>>light
Diffused or irregular reflection takes place from rough surfaces.|science>>light
Regular reflection takes place when light is  incident on smooth, polished and regular surfaces.|science>>light
The angle of incidence is equal to the angle of reflection.|science>>light
Incident ray reflected ray and the normal drawn at the point of incidence to the reflecting surface, lie in the same plane.|science>>light
Image formed in a plane mirror undergoes lateral inversion.|science>>light
Two mirrors inclined to each other give multiple images.|science>>light    
Splitting of light into its constituent colours is known as dispersion.|science>>light
The phases of the moon occur because we can see only that part of the moon which reflects the light of the Sun towards us.|science>>stars and the solar system
Stars are celestial bodies that emit light of their own. Our sun is also a star.|science>>stars and the solar system
It is convenient to express distances of stars in light years.|science>>stars and the solar system
Stars appear to move from east to west.|science>>stars and the solar system
The pole star appears to be stationary from the Earth, because it is situated close to the direction of the axis of rotation of the Earth.|science>>stars and the solar system
Constellations are groups of stars that appear to form recognisable shapes.|science>>stars and the solar system
The solar system consists of eight planets and a host of asteroids, comets and meteors.|science>>stars and the solar system
A body revolving around another body is called a satellite.|science>>stars and the solar system
Moon is the natural satellite of the Earth. Some planets also have natural satellites.|science>>stars and the solar system
The artificial satellites revolve around the Earth. They are much closer than the moon.|science>>stars and the solar system
Artificial satellites are used for weather forecasting, long distance communication and remote sensing.|science>>stars and the solar system
Air pollution is the contamination of air by  impurities which may have a harmful impact  on the living organisms and the non-living components.|science>>pollution of air and water
Pollutants are the substances which contaminate air and water.|science>>pollution of air and water
Carbon monoxide nitrogen oxides carbon dioxide methane and sulphur dioxide are the major pollutants of air|science>>pollution of air and water
Increasing levels of greenhouse gases like CO 2 are leading to global warming.|science>>pollution of air and water
Water pollution is the contamination of water by substances harmful to life.|science>>pollution of air and water
Water which is purified and fit for drinking is known as potable water|science>>pollution of air and water
